dataset,temperature_mode,eval_horizon,mse_mean,mse_std,mae_mean,mae_std,tau_mean,relative_improvement_pct,H_norm_mean,N_eff_mean
exchange,query_conditioned,24,0.10287333333333333,0.0023195329989748686,0.23595333333333332,0.0018996403168319192,0.9628,-0.06,0.9662799999999999,85.69306666666667
exchange,query_conditioned,48,0.12733333333333333,0.0024152087556427253,0.26327666666666666,0.0017978134868036847,0.9628,0.04,0.9665133333333333,85.73596666666667
exchange,query_conditioned,96,0.17874,0.002655654344977901,0.31207,0.0014809794056637087,0.9628,0.04,0.9678366666666666,86.02393333333333
exchange,query_conditioned,192,0.29305333333333333,0.002854913892455141,0.4039566666666667,0.001510110371242205,0.9628333333333333,0.1,0.9678466666666666,85.92726666666665
exchange,query_conditioned,336,0.48612000000000005,0.004879989754087604,0.5226466666666667,0.002653682975287972,0.9628333333333333,0.14,0.9702999999999999,86.5742
exchange,query_conditioned,720,1.2309966666666667,0.01075557684800466,0.85916,0.004050271595831554,0.9629,0.08,0.9702099999999999,86.55586666666666
exchange,temporal_context,24,0.10287333333333333,0.0023195329989748686,0.23595333333333332,0.001900456085610337,0.9621666666666666,-0.06,0.9662466666666667,85.68503333333332
exchange,temporal_context,48,0.12733333333333333,0.0024152087556427253,0.26327666666666666,0.0017978134868036847,0.9621666666666666,0.04,0.9664800000000001,85.72813333333333
exchange,temporal_context,96,0.17874,0.002655654344977901,0.31207,0.0014809794056637087,0.9621666666666666,0.04,0.9678033333333333,86.01606666666667
exchange,temporal_context,192,0.29305333333333333,0.002854913892455141,0.4039566666666667,0.001510110371242205,0.9621666666666666,0.1,0.9678166666666667,85.91879999999999
exchange,temporal_context,336,0.4861233333333333,0.004884161476992064,0.5226466666666667,0.002653682975287972,0.9621666666666666,0.14,0.9702666666666667,86.56543333333333
exchange,temporal_context,720,1.2309966666666667,0.01075557684800466,0.8591633333333334,0.00405208999571002,0.9622,0.08,0.97018,86.54703333333333
