dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTm1,42,TCD2Vformer_fixed,fixed,192,0.97372,87.6847,0.01894,1.0,0.0,1.0,1.0
ETTm1,42,TCD2Vformer_fixed,fixed,336,0.97428,87.7907,0.01882,1.0,0.0,1.0,1.0
ETTm1,42,TCD2Vformer_fixed,fixed,720,0.975,87.9521,0.01862,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,24,0.96258,85.0539,0.02245,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,48,0.96192,84.8865,0.02254,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,96,0.963,85.0353,0.02209,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,192,0.96372,85.1978,0.02193,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,336,0.96427,85.3069,0.02181,1.0,0.0,1.0,1.0
ETTm1,43,TCD2Vformer_fixed,fixed,720,0.96495,85.4739,0.0216,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,24,0.96191,84.7444,0.02255,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,48,0.96182,84.674,0.02248,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,96,0.96261,84.7643,0.02209,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,192,0.96333,84.9288,0.02193,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,336,0.96388,85.0272,0.02182,1.0,0.0,1.0,1.0
ETTm1,44,TCD2Vformer_fixed,fixed,720,0.96474,85.2176,0.02156,1.0,0.0,1.0,1.0
ETTm1,42,TCD2Vformer_learned_global,learned_global,24,0.95551,82.1935,0.02359,0.4398,0.0,0.4398,0.4398
ETTm1,42,TCD2Vformer_learned_global,learned_global,48,0.95596,82.2222,0.02327,0.4398,0.0,0.4398,0.4398
ETTm1,42,TCD2Vformer_learned_global,learned_global,96,0.95655,82.2679,0.02288,0.4398,0.0,0.4398,0.4398
ETTm1,42,TCD2Vformer_learned_global,learned_global,192,0.95743,82.4656,0.0227,0.4398,0.0,0.4398,0.4398
ETTm1,42,TCD2Vformer_learned_global,learned_global,336,0.95813,82.5875,0.02256,0.4398,0.0,0.4398,0.4398
ETTm1,42,TCD2Vformer_learned_global,learned_global,720,0.95916,82.8216,0.02232,0.4398,0.0,0.4398,0.4398
ETTm1,43,TCD2Vformer_learned_global,learned_global,24,0.9453,79.9531,0.02687,0.4389,0.0,0.4389,0.4389
ETTm1,43,TCD2Vformer_learned_global,learned_global,48,0.94474,79.8028,0.02679,0.4389,0.0,0.4389,0.4389
ETTm1,43,TCD2Vformer_learned_global,learned_global,96,0.94585,79.9219,0.02625,0.4389,0.0,0.4389,0.4389
ETTm1,43,TCD2Vformer_learned_global,learned_global,192,0.94676,80.1258,0.02605,0.4389,0.0,0.4389,0.4389
ETTm1,43,TCD2Vformer_learned_global,learned_global,336,0.94747,80.2585,0.02591,0.4389,0.0,0.4389,0.4389
ETTm1,43,TCD2Vformer_learned_global,learned_global,720,0.94849,80.4976,0.02565,0.4389,0.0,0.4389,0.4389
ETTm1,44,TCD2Vformer_learned_global,learned_global,24,0.9371,77.7285,0.02892,0.3727,0.0,0.3727,0.3727
ETTm1,44,TCD2Vformer_learned_global,learned_global,48,0.93715,77.6865,0.02864,0.3727,0.0,0.3727,0.3727
ETTm1,44,TCD2Vformer_learned_global,learned_global,96,0.93813,77.7851,0.02812,0.3727,0.0,0.3727,0.3727
ETTm1,44,TCD2Vformer_learned_global,learned_global,192,0.939,77.9747,0.02795,0.3727,0.0,0.3727,0.3727
ETTm1,44,TCD2Vformer_learned_global,learned_global,336,0.93954,78.0525,0.02785,0.3727,0.0,0.3727,0.3727
ETTm1,44,TCD2Vformer_learned_global,learned_global,720,0.94075,78.3029,0.02752,0.3727,0.0,0.3727,0.3727
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,24,0.92213,72.4417,0.03059,0.2042,0.0216,0.1603,0.3334
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,48,0.92283,72.4155,0.02987,0.2042,0.0216,0.1603,0.3334
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,96,0.92433,72.601,0.02918,0.2042,0.0216,0.1603,0.3334
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,192,0.92531,72.7926,0.029,0.2042,0.0217,0.1603,0.3334
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,336,0.9259,72.8431,0.02887,0.2043,0.0217,0.1603,0.3334
ETTm1,42,TCD2Vformer_temporal_context,temporal_context,720,0.92752,73.1868,0.02853,0.2049,0.0217,0.1603,0.3334
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,24,0.90425,68.2509,0.03588,0.1845,0.049,0.1219,0.6887
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,48,0.90449,68.1764,0.03519,0.1845,0.0491,0.1219,0.6887
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,96,0.90622,68.3634,0.03438,0.1846,0.0492,0.1219,0.6887
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,192,0.907,68.5357,0.03424,0.1847,0.0493,0.1219,0.6887
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,336,0.90738,68.5688,0.03413,0.1852,0.0493,0.1219,0.6887
ETTm1,43,TCD2Vformer_temporal_context,temporal_context,720,0.90974,69.0512,0.03353,0.1865,0.0494,0.1219,0.6887
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,24,0.87653,61.6471,0.04273,0.1327,0.0487,0.1009,0.7794
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,48,0.87699,61.593,0.04169,0.1328,0.0487,0.1009,0.7794
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,96,0.87827,61.6833,0.04102,0.1328,0.0488,0.1009,0.7794
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,192,0.87911,61.8632,0.04094,0.133,0.0489,0.1009,0.7794
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,336,0.87903,61.8515,0.04099,0.1333,0.0491,0.1009,0.7794
ETTm1,44,TCD2Vformer_temporal_context,temporal_context,720,0.88095,62.2172,0.04047,0.1341,0.0495,0.1009,0.7794
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,24,0.90668,67.7706,0.03401,0.1728,0.1715,0.1029,4.0621
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,48,0.9024,66.7615,0.03439,0.1607,0.1322,0.1029,4.0621
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,96,0.90399,67.0807,0.03379,0.1655,0.1476,0.1027,4.4547
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,192,0.90464,67.2272,0.03367,0.1651,0.149,0.1024,4.4762
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,336,0.90416,67.1275,0.03374,0.164,0.1484,0.1024,4.4762
ETTm1,42,TCD2Vformer_query_conditioned,query_conditioned,720,0.90497,67.2686,0.03356,0.1637,0.1494,0.1024,4.6018
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,24,0.92047,72.2229,0.03191,0.2435,0.0646,0.1288,0.7544
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,48,0.92102,72.356,0.03141,0.2462,0.0667,0.1285,0.7727
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,96,0.92318,72.718,0.03055,0.248,0.066,0.1285,0.7727
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,192,0.92404,72.9144,0.03034,0.2474,0.0655,0.1285,0.7727
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,336,0.92415,72.8923,0.03029,0.2463,0.0647,0.1285,0.7727
ETTm1,43,TCD2Vformer_query_conditioned,query_conditioned,720,0.92542,73.1374,0.03001,0.2458,0.0628,0.1285,0.7953
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,24,0.87608,61.6878,0.04266,0.1289,0.025,0.1016,0.33
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,48,0.87678,61.7541,0.0417,0.1295,0.0259,0.101,0.3554
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,96,0.87952,62.1511,0.04063,0.1313,0.0282,0.101,0.3888
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,192,0.88051,62.346,0.04047,0.1312,0.0283,0.101,0.3888
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,336,0.88045,62.2849,0.04047,0.1307,0.0281,0.101,0.5656
