dataset,variant,temperature_mode,initial_tau,final_tau,seed,eval_horizon,mse,mae,H_norm,N_eff,N_eff_ratio,max_attention,checksum_verified
exchange,learnable,learnable,1.0,0.7065,42,720,1.21136,0.84663,0.68586,46.83,0.4878,0.24248,True
exchange,learnable,learnable,1.0,0.9635,43,24,0.10584,0.23728,0.95886,84.06,0.8757,0.03547,True
exchange,learnable,learnable,1.0,0.9635,43,48,0.13026,0.26437,0.95921,84.11,0.8762,0.03531,True
exchange,learnable,learnable,1.0,0.9635,43,96,0.18151,0.31319,0.96025,84.28,0.8779,0.03458,True
exchange,learnable,learnable,1.0,0.9635,43,192,0.2955,0.40543,0.96185,84.53,0.8806,0.03351,True
exchange,learnable,learnable,1.0,0.9635,43,336,0.48868,0.5235,0.96407,85.07,0.8862,0.03249,True
exchange,learnable,learnable,1.0,0.9635,43,720,1.23987,0.86158,0.96398,85.07,0.8862,0.03271,True
exchange,learnable,learnable,1.0,0.9599,44,24,0.10429,0.23637,0.97459,87.47,0.9112,0.02619,True
exchange,learnable,learnable,1.0,0.9599,44,48,0.12914,0.26391,0.97481,87.53,0.9118,0.02612,True
exchange,learnable,learnable,1.0,0.9599,44,96,0.1809,0.31246,0.97498,87.53,0.9117,0.02602,True
exchange,learnable,learnable,1.0,0.9599,44,192,0.29648,0.40516,0.97569,87.7,0.9135,0.02557,True
exchange,learnable,learnable,1.0,0.9599,44,336,0.49314,0.52622,0.97768,88.28,0.9195,0.02476,True
exchange,learnable,learnable,1.0,0.9599,44,720,1.24597,0.86387,0.97737,88.22,0.919,0.02484,True
